n0TricksPlayed,hCP0P3,hCP1P3,hCP2P3,hCP3P3,hCP4P3,hCP5P3,hCP6P3,hCP7P3,hCP8P3,hCP9P3,hCP10P3,hCP11P3,hCP12P3,startPNo,trickCard0,trickCard1,trickCard2,trickCard3
8,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,8,10,-100,-100
9,16,17,20,24,25,-100,-100,-100,-100,-100,-100,-100,-100,0,9,11,3,25
10,16,17,20,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,26,14,16,-100
11,17,20,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,21,22,17,-100
12,20,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,12,20,-100,-100
13,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,47,24,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,47,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,42,49,48,-100
3,29,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,32,29,-100,-100
4,2,4,5,6,10,-100,-100,-100,-100,-100,-100,-100,-100,2,3,2,-100,-100
5,4,5,6,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,1,13,10,-100
6,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,34,38,-100,-100
7,4,5,6,14,18,20,47,-100,-100,-100,-100,-100,-100,3,14,-100,-100,-100
8,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,45,46,35,47
9,4,5,6,18,20,-100,-100,-100,-100,-100,-100,-100,-100,3,4,-100,-100,-100
10,18,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,25,18,-100,-100
11,5,6,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,33,20,-100,-100
12,5,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,37,5,-100,-100
13,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,39,6,-100,-100
1,43,45,48,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,47,50,-100
2,5,6,7,9,12,30,32,36,38,43,45,48,-100,3,30,-100,-100,-100
3,32,36,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,33,39,34,36
4,43,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,51,44,48,-100
5,5,6,7,9,12,-100,-100,-100,-100,-100,-100,-100,-100,1,11,13,12,-100
6,5,6,7,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,8,7,-100,-100
7,5,6,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,10,9,-100,-100
8,5,6,32,38,43,45,-100,-100,-100,-100,-100,-100,-100,2,26,43,-100,-100
9,5,6,32,38,45,-100,-100,-100,-100,-100,-100,-100,-100,2,17,45,-100,-100
10,5,6,32,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,41,22,32,-100
11,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,29,52,31,38
12,5,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,5,-100,-100,-100
13,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,6,-100,-100,-100
1,41,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,44,49,-100
2,30,32,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,34,37,29,33
3,30,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,27,42,30,-100
4,41,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,47,52,43,41
5,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,38,12,32,-100
6,1,5,6,7,8,19,21,22,-100,-100,-100,-100,-100,1,46,9,19,-100
7,21,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,26,23,18,21
8,1,5,6,7,8,-100,-100,-100,-100,-100,-100,-100,-100,0,13,11,2,1
9,5,6,7,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,3,17,4,6
10,5,7,8,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,5,-100,-100,-100
11,7,8,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,45,25,20,22
12,7,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,48,36,16,7
13,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,39,24,15,8
1,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,40,46,-100,-100
2,1,7,8,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,9,5,1,-100
3,7,8,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,13,6,11,-100
4,7,8,17,25,26,30,31,32,36,39,-100,-100,-100,1,45,49,17,-100
5,7,8,25,26,30,31,32,36,39,-100,-100,-100,-100,2,43,25,-100,-100
6,26,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,14,19,26,-100
7,7,8,30,31,32,36,39,-100,-100,-100,-100,-100,-100,3,30,-100,-100,-100
8,7,8,31,32,36,39,-100,-100,-100,-100,-100,-100,-100,0,20,23,24,31
9,32,36,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,29,32,-100,-100
10,36,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,38,35,39,-100
11,7,8,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,7,-100,-100,-100
12,8,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,48,18,41,36
13,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,22,15,50,8
1,41,43,49,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,40,51,-100,-100
2,11,29,31,32,33,35,36,41,43,49,-100,-100,-100,3,41,-100,-100,-100
3,29,31,32,33,35,36,-100,-100,-100,-100,-100,-100,-100,1,34,28,33,-100
4,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,4,13,11,-100
5,29,31,32,35,36,-100,-100,-100,-100,-100,-100,-100,-100,2,39,36,-100,-100
6,14,15,29,31,32,35,43,49,-100,-100,-100,-100,-100,2,10,14,-100,-100
7,15,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,22,15,-100,-100
8,29,31,32,35,43,49,-100,-100,-100,-100,-100,-100,-100,2,19,43,-100,-100
9,29,31,32,35,49,-100,-100,-100,-100,-100,-100,-100,-100,2,18,49,-100,-100
10,29,31,32,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,9,1,5,35
11,29,31,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,26,47,25,29
12,31,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,7,27,24,31
13,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,12,52,23,32
1,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,42,48,46
2,5,8,9,10,12,-100,-100,-100,-100,-100,-100,-100,-100,2,6,12,-100,-100
3,5,8,9,10,30,33,34,-100,-100,-100,-100,-100,-100,3,30,-100,-100,-100
4,33,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,28,33,-100,-100
5,5,8,9,10,15,17,21,25,34,-100,-100,-100,-100,0,49,52,47,25
6,15,17,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,19,16,15,-100
7,17,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,23,14,17
8,5,8,9,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,11,3,10,-100
9,5,8,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,2,26,5,-100
10,8,9,21,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,8,-100,-100,-100
11,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,20,24,21,-100
12,9,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,44,34,-100,-100
13,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,43,37,32,9
1,42,49,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,40,51,-100,-100
2,1,2,3,6,12,35,36,42,49,-100,-100,-100,-100,3,1,-100,-100,-100
3,2,3,6,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,9,7,13,2
4,35,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,38,36,-100,-100
5,42,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,52,49,-100,-100
6,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,37,35,-100,-100
7,3,6,12,18,20,21,42,-100,-100,-100,-100,-100,-100,1,29,33,18,-100
8,20,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,24,20,-100,-100
9,42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,43,42,-100,-100
10,3,6,12,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,34,46,21,-100
11,3,6,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,41,25,3,-100
12,6,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,14,23,6,-100
13,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,17,12,-100,-100
1,8,10,12,30,31,32,35,-100,-100,-100,-100,-100,-100,0,40,45,43,12
2,30,31,32,35,37,-100,-100,-100,-100,-100,-100,-100,-100,1,29,36,30,-100
3,8,10,14,17,18,21,22,31,32,35,37,-100,-100,2,51,37,-100,-100
4,8,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,3,7,8,-100
