n0TricksPlayed,hCP0P3,hCP1P3,hCP2P3,hCP3P3,hCP4P3,hCP5P3,hCP6P3,hCP7P3,hCP8P3,hCP9P3,hCP10P3,hCP11P3,hCP12P3,startPNo,trickCard0,trickCard1,trickCard2,trickCard3
9,20,21,28,29,30,-100,-100,-100,-100,-100,-100,-100,-100,2,51,20,-100,-100
10,21,28,29,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,11,21,-100,-100
11,28,29,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,39,28,-100,-100
12,29,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,45,29,-100,-100
13,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,18,30,-100,-100
1,42,43,45,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,48,44,47
2,15,16,17,19,21,23,28,33,36,42,43,45,-100,1,11,12,15,-100
3,28,33,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,38,28,-100,-100
4,42,43,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,41,42,-100,-100
5,16,17,19,21,23,33,36,43,45,-100,-100,-100,-100,0,8,7,10,23
6,16,17,19,21,33,36,43,45,-100,-100,-100,-100,-100,2,9,16,-100,-100
7,33,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,35,33,-100,-100
8,17,19,21,36,43,45,-100,-100,-100,-100,-100,-100,-100,1,3,13,17,-100
9,19,21,36,43,45,-100,-100,-100,-100,-100,-100,-100,-100,2,1,19,-100,-100
10,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,20,50,21,-100
11,43,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,52,37,30,43
12,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,51,26,27,45
13,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,24,29,36
1,43,44,45,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,52,50,46
2,43,44,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,47,51,45,-100
3,27,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,34,27,-100,-100
4,43,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,48,12,44,-100
5,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,39,28,33,-100
6,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,49,18,43,-100
7,15,20,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,25,17,15,-100
8,2,3,8,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,6,11,2,-100
9,3,8,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,5,3,-100,-100
10,8,13,20,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,30,20,-100,-100
11,8,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,1,21,7,8
12,13,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,23,-100,-100,-100
13,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,29,41,14,13
1,43,50,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,47,51,-100
2,27,28,30,33,35,43,50,-100,-100,-100,-100,-100,-100,3,27,-100,-100,-100
3,28,30,33,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,29,37,28
4,15,17,19,21,26,30,33,35,43,50,-100,-100,-100,2,8,15,-100,-100
5,17,19,21,26,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,23,14,12,17
6,43,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,46,49,52,50
7,19,21,26,30,33,35,43,-100,-100,-100,-100,-100,-100,2,5,19,-100,-100
8,30,33,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,38,24,32,30
9,21,26,33,35,43,-100,-100,-100,-100,-100,-100,-100,-100,0,4,1,7,26
10,21,33,35,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,3,21,-100,-100
11,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,48,43,-100,-100
12,33,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,2,33,-100,-100
13,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,11,35,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,31,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,36,33,-100,-100
3,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,30,28,31,-100
4,7,8,12,41,44,48,-100,-100,-100,-100,-100,-100,-100,3,41,-100,-100,-100
5,7,8,12,14,16,18,19,44,48,-100,-100,-100,-100,1,37,38,14,-100
6,7,8,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,13,7,-100,-100
7,16,18,19,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,23,16,-100,-100
8,8,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,2,8,-100,-100
9,12,18,19,44,48,-100,-100,-100,-100,-100,-100,-100,-100,3,44,-100,-100,-100
10,18,19,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,20,18,-100,-100
11,19,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,22,19,-100,-100
12,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,1,32,12,-100
13,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,48,-100,-100,-100
1,44,50,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,52,51,-100
2,44,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,47,50,-100,-100
3,2,7,9,10,27,28,44,-100,-100,-100,-100,-100,-100,3,27,-100,-100,-100
4,2,7,9,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,8,5,4,7
5,28,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,31,32,38,28
6,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,45,44,-100,-100
7,2,9,10,14,17,20,22,-100,-100,-100,-100,-100,-100,1,33,35,14,-100
8,2,9,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,6,23,3,2
9,17,20,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,25,15,19,17
10,20,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,24,12,22
11,9,10,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,30,11,20,-100
12,9,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,26,46,9,-100
13,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,34,42,10,-100
1,51,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,43,50,52
2,1,8,12,30,32,34,51,-100,-100,-100,-100,-100,-100,3,30,-100,-100,-100
3,32,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,29,32,-100,-100
4,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,47,44,51,-100
5,1,8,12,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,1,-100,-100,-100
6,8,12,15,17,18,20,22,34,-100,-100,-100,-100,-100,1,49,10,15,-100
7,8,12,17,18,20,22,34,-100,-100,-100,-100,-100,-100,1,41,39,17,-100
8,8,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,6,2,7,12
9,8,18,20,22,34,-100,-100,-100,-100,-100,-100,-100,-100,3,18,-100,-100,-100
10,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,38,34,-100,-100
11,20,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,26,20,-100,-100
12,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,3,8,-100,-100
13,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,16,25,22,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,28,31,32,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,38,27,35
3,28,31,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,37,15,28,-100
4,14,18,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,25,20,14,-100
5,31,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,39,45,32,-100
6,1,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,4,3,1,-100
7,48,49,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,43,5,47,51
8,13,18,21,31,48,49,-100,-100,-100,-100,-100,-100,-100,3,18,-100,-100,-100
9,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,2,13,-100,-100
10,21,31,48,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,31,-100,-100,-100
11,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,26,16,7,21
12,48,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,19,6,44,48
13,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,41,8,9,49
1,42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,46,43,42
2,9,10,11,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,3,12,11,-100
3,31,32,34,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,28,31,-100,-100
4,9,10,13,19,20,22,24,32,34,39,-100,-100,-100,0,52,35,50,24
5,9,10,13,19,20,22,32,34,39,-100,-100,-100,-100,0,49,5,45,22
6,9,10,13,19,20,32,34,39,-100,-100,-100,-100,-100,0,41,7,44,20
7,19,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,16,19,-100,-100
8,32,34,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,29,37,32,-100
9,9,10,13,34,39,-100,-100,-100,-100,-100,-100,-100,-100,2,17,34,-100,-100
10,9,10,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,8,1,9,-100
11,10,13,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,10,-100,-100,-100
12,13,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,39,-100,-100,-100
13,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,13,-100,-100,-100
1,41,42,44,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,40,48,-100,-100
2,1,4,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,7,6,1,-100
3,4,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,10,13,8,5
4,4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,2,27,4,-100
5,29,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,37,32,28,33
6,29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,38,36,34,29
7,41,42,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,51,45,47,41
8,16,17,18,22,42,44,-100,-100,-100,-100,-100,-100,-100,0,9,3,15,16
9,17,18,22,42,44,-100,-100,-100,-100,-100,-100,-100,-100,0,35,14,39,17
10,18,22,42,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,30,18,-100,-100
11,42,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,46,20,50,42
12,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,25,22,-100,-100
13,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,24,44,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,42,45,-100,-100
3,1,2,4,5,11,13,-100,-100,-100,-100,-100,-100,-100,0,10,6,7,1
4,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,52,25,43,48
5,14,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,23,21,14
6,28,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,30,38,36,-100
7,2,4,5,11,13,-100,-100,-100,-100,-100,-100,-100,-100,2,12,2,-100,-100
8,4,5,11,13,20,28,-100,-100,-100,-100,-100,-100,-100,2,49,20,-100,-100
9,4,5,11,13,28,-100,-100,-100,-100,-100,-100,-100,-100,0,24,15,26,4
10,5,11,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,8,5,-100,-100
11,28,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,27,28,-100,-100
12,11,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,17,22,19,11
13,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,37,29,13,-100
1,41,42,46,47,48,-100,-100,-100,-100,-100,-100,-100,-100,1,40,50,48,-100
2,2,3,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,13,9,6,7
3,41,42,46,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,45,49,43,41
4,2,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,10,5,3,-100
5,29,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,32,28,29,-100
6,2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,1,44,2,-100
7,18,19,24,34,42,46,47,-100,-100,-100,-100,-100,-100,0,8,11,31,24
8,42,46,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,51,35,42,-100
9,18,19,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,25,20,18,-100
10,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,27,37,34
11,19,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,23,19,-100,-100
12,46,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,33,46,-100,-100
13,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,15,17,47,-100
1,45,46,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,47,52,-100
2,5,7,9,27,29,37,38,45,46,-100,-100,-100,-100,3,27,-100,-100,-100
3,45,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,43,42,45,-100
4,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,51,44,49,46
5,29,37,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,30,20,15,29
6,37,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,33,10,3,38
7,5,7,9,17,22,24,37,-100,-100,-100,-100,-100,-100,3,17,-100,-100,-100
8,5,7,9,22,24,37,-100,-100,-100,-100,-100,-100,-100,1,41,6,37,-100
9,5,7,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,1,4,5,-100
10,7,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,13,14,8,7
11,9,22,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,34,19,16,22
12,9,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,23,18,24
13,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,25,2,9
1,42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,40,42,-100,-100
2,28,30,32,34,38,-100,-100,-100,-100,-100,-100,-100,-100,0,33,39,23,38
3,14,16,18,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,24,22,14,-100
4,16,18,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,15,17,16,-100
5,28,30,32,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,27,4,34
6,3,5,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,1,2,10,7
7,3,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,8,3,-100,-100
8,5,18,21,28,30,32,-100,-100,-100,-100,-100,-100,-100,0,49,48,51,18
9,5,21,28,30,32,-100,-100,-100,-100,-100,-100,-100,-100,2,41,21,-100,-100
10,5,28,30,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,45,29,43,5
11,28,30,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,37,36,44,28
12,30,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,31,6,12,32
13,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,30,-100,-100,-100
1,41,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,47,42,44
2,27,34,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,30,33,27,-100
3,41,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,49,52,50,41
4,4,5,8,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,6,12,9,-100
5,4,5,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,11,8,-100,-100
6,4,5,14,19,21,22,34,38,-100,-100,-100,-100,-100,2,46,14,-100,-100
7,34,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,37,29,35,34
8,19,21,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,20,15,22
9,4,5,19,21,38,-100,-100,-100,-100,-100,-100,-100,-100,3,4,-100,-100,-100
10,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,31,28,38
11,5,19,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,5,-100,-100,-100
12,19,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,17,23,45,19
13,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,16,43,21,-100
1,44,46,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,45,52,48
2,44,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,50,46,-100,-100
3,27,30,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,36,27,-100,-100
4,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,42,24,49,44
5,2,3,6,7,8,-100,-100,-100,-100,-100,-100,-100,-100,2,13,8,-100,-100
6,2,3,6,7,22,23,30,33,-100,-100,-100,-100,-100,2,41,22,-100,-100
7,30,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,28,10,34,33
8,2,3,6,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,5,6,-100,-100
9,2,3,7,23,30,-100,-100,-100,-100,-100,-100,-100,-100,3,2,-100,-100,-100
10,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,17,16,23,-100
11,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,39,18,14,30
12,3,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,29,26,20,3
13,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,19,21,7
